City,Category,Title,Recruitment_period,Education_period,Quota,Institution,Address,Tel,Detail,Fee,Post
인천시 연수구,글로벌,[연수 상반기] 느린학습자 인식개선 교육_라이프스킬,2025-03-12 오전 10:00:00 ~ 2025-05-28 오후 11:59:59,2025.5.29 ~ 2025.5.29 (목 10:00 ~ 12:00),인터넷[11/20]  대기[0/10],연수 글로벌 평생학습관,연수 글로벌 평생학습관,032-749-7268,https://www.yeonsu.go.kr/lll/edu/global_request.asp?page=v&lec_idx=42368&search_chk=&strMode=Category&strCode=8&strSearch=&strSearch01=lec_name&strSearch02=&strSearchDept=&code=edu&lec_ageName2=&tar_idx=&lecDate=&cat=,"1,000원",
인천시 연수구,글로벌,[송도 상반기]스페인어 텍스트 나들이(중급)_글로벌문화,2025-03-12 오전 10:00:00 ~ 2025-05-26 오후 11:59:59,2025.5.29 ~ 2025.6.19 (매주 목 14:00 ~ 15:50),인터넷[21/25]  대기[0/10],송도 글로벌 평생학습관,배움1실,032-749-7274~7275,https://www.yeonsu.go.kr/lll/edu/global_request.asp?page=v&lec_idx=42349&search_chk=&strMode=Category&strCode=8&strSearch=&strSearch01=lec_name&strSearch02=&strSearchDept=&code=edu&lec_ageName2=&tar_idx=&lecDate=&cat=,"10,000원",
